File,CTRL,CCF_RANK_ORIG,CCF_ACRO_ORIG,CCF_NAME_ORIG,CCF_NAME,CCF_PUBLISHER_ORIG,CCF_URL_ORIG,SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME,NAME_UPPER_ALL,MATCHING_CASE,COMMENT
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ICANN,International Conference on Artificial Neural Networks,INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS,Springer,https://www.waset.org/conferences/2013/amsterdam/ icann/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icann,International Conference on Artificial Neural Networks,INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS,INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,ICCBR,International Conference on Case-Based Reasoning,INTERNATIONAL CONFERENCE ON CASE-BASED REASONING,Springer,http://www.iccbr.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iccbr,International Conference on Case-Based Reasoning,INTERNATIONAL CONFERENCE ON CASE-BASED REASONING,INTERNATIONAL CONFERENCE ON CASE-BASED REASONING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,ICDT,International Conference on Database Theory,INTERNATIONAL CONFERENCE ON DATABASE THEORY,Springer,http://edbticdt2013.disi.unige.it/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icdt,International Conference on Database Theory,INTERNATIONAL CONFERENCE ON DATABASE THEORY,INTERNATIONAL CONFERENCE ON DATABASE THEORY,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ICFEM,International Conference on Formal Engineering Methods,INTERNATIONAL CONFERENCE ON FORMAL ENGINEERING METHODS,Springer,"https://www.cs.auckland.ac.nz/research/conferences
/icfem2013/",http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icfem,International Conference on Formal Engineering Methods,INTERNATIONAL CONFERENCE ON FORMAL ENGINEERING METHODS,INTERNATIONAL CONFERENCE ON FORMAL ENGINEERING METHODS,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ICONIP,International Conference on Neural Information Processing,INTERNATIONAL CONFERENCE ON NEURAL INFORMATION PROCESSING,Springer,http://iconip2013.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iconip,International Conference on Neural Information Processing,INTERNATIONAL CONFERENCE ON NEURAL INFORMATION PROCESSING,INTERNATIONAL CONFERENCE ON NEURAL INFORMATION PROCESSING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,A,ICSE,International Conference on Software Engineering,INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING,ACM/IEEE,http://www.icse-conferences.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icse,International Conference on Software Engineering,INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING,INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ICSR,International Conference on Software Reuse,INTERNATIONAL CONFERENCE ON SOFTWARE REUSE,Springer,http://www.icsrc.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icsr,International Conference on Software Reuse,INTERNATIONAL CONFERENCE ON SOFTWARE REUSE,INTERNATIONAL CONFERENCE ON SOFTWARE REUSE,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ICWE,International Conference on Web Engineering,INTERNATIONAL CONFERENCE ON WEB ENGINEERING,Springer,http://icwe2012.webengineering.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icwe,International Conference on Web Engineering,INTERNATIONAL CONFERENCE ON WEB ENGINEERING,INTERNATIONAL CONFERENCE ON WEB ENGINEERING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,A,IJCAI,International Joint Conference on Artificial Intelligence,INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE,Morgan Kaufmann,http://www.ijcai.org,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ijcai,International Joint Conference on Artificial Intelligence,INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE,INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ILP,International Conference on Inductive Logic Programming,INTERNATIONAL CONFERENCE ON INDUCTIVE LOGIC PROGRAMMING,Springer,http://ilp13.cos.ufrj.br/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ilp,International Conference on Inductive Logic Programming,INTERNATIONAL CONFERENCE ON INDUCTIVE LOGIC PROGRAMMING,INTERNATIONAL CONFERENCE ON INDUCTIVE LOGIC PROGRAMMING,,
