File,CTRL,CCF_RANK_ORIG,CCF_ACRO_ORIG,CCF_NAME_ORIG,CCF_NAME,CCF_PUBLISHER_ORIG,CCF_URL_ORIG,SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME,NAME_UPPER_ALL,MATCHING_CASE,COMMENT
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,ICALP,"International Colloquium on Automata, Languages and Programming","INTERNATIONAL COLLOQUIUM ON AUTOMATA, LANGUAGES AND PROGRAMMING",Springer,http://www.icalp2013.lu.lv/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icalp,"International Colloquium on Automata, Languages, and Programming","INTERNATIONAL COLLOQUIUM ON AUTOMATA, LANGUAGES, AND PROGRAMMING","INTERNATIONAL COLLOQUIUM ON AUTOMATA, LANGUAGES, AND PROGRAMMING",Similar upper name,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services","INTERNATIONAL CONFERENCE ON MOBILE AND UBIQUITOUS SYSTEMS: COMPUTING, NETWORKING AND SERVICES",Springer,http://mobiquitous.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/mobiquitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking, and Services","INTERNATIONAL CONFERENCE ON MOBILE AND UBIQUITOUS SYSTEMS: COMPUTING, NETWORKING, AND SERVICES","INTERNATIONAL CONFERENCE ON MOBILE AND UBIQUITOUS SYSTEMS: COMPUTING, NETWORKING, AND SERVICES",Similar upper name,
