Sigla/ISSN,Título da publicação,Estrato,Tipo,SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME_UPPER,NAME_UPPER_ALL,MATCHING_CASE,COMMENT
CENTERIS,INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS,B3,Conferência,,http://lod.springer.com/data/confseries/centeris,"International Conference on ENTERprise Information Systems
",,INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS,name + acro,
ICEIS,INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS,B1,Conferência,,http://lod.springer.com/data/confseries/iceis,"International Conference on Enterprise Information Systems
",,INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS,name + acro,
