property,object,subject,DBPEDIA_COUNTRY
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acai-agents1987,Norway,http://dbpedia.org/resource/Norway
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acal2007,Australia,http://dbpedia.org/resource/Australia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acal2009,Australia,http://dbpedia.org/resource/Australia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acc2011,India,http://dbpedia.org/resource/India
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acai-agents2001,Czech Republic,http://dbpedia.org/resource/Czech_Republic
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/accv2012,South Korea,http://dbpedia.org/resource/South_Korea
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/accessnets2008,USA,http://dbpedia.org/resource/UnitedStates
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/accv2009,China,http://dbpedia.org/resource/China
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/accessnets2009,China,http://dbpedia.org/resource/China
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/accv1998,China,http://dbpedia.org/resource/China
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/accv2006,India,http://dbpedia.org/resource/India
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/accv2007,Japan,http://dbpedia.org/resource/Japan
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/accv2010,New Zealand,http://dbpedia.org/resource/New_Zealand
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/accv1995,Singapore,http://dbpedia.org/resource/Singapore
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acg2011,The Netherlands,http://dbpedia.org/resource/The_Netherlands
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/aciids2010,Vietnam,http://dbpedia.org/resource/Vietnam
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acg2005,Taiwan,http://dbpedia.org/resource/Taiwan
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/aciids2013,Malaysia,http://dbpedia.org/resource/Malaysia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acg2009,Spain,http://dbpedia.org/resource/Spain
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/aciids2015,Indonesia,http://dbpedia.org/resource/Indonesia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acii2007,Portugal,http://dbpedia.org/resource/Portugal
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acii2011,USA,http://dbpedia.org/resource/UnitedStates
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acii2005,China,http://dbpedia.org/resource/China
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/aciids2014,Thailand,http://dbpedia.org/resource/Thailand
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/aciids2011,South Korea,http://dbpedia.org/resource/South_Korea
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acisp2003,Australia,http://dbpedia.org/resource/Australia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/aciids2012,Taiwan,http://dbpedia.org/resource/Taiwan
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acisp2007,Australia,http://dbpedia.org/resource/Australia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acisp2000,Australia,http://dbpedia.org/resource/Australia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/acisp1997,Australia,http://dbpedia.org/resource/Australia
